office,co2e
ASCE,0.000000
ASCE,-0.053377
ASCE,-0.046490
ASCE,-0.018940
ASCE,-0.008609
ASCE,-0.008609
ASCE,-0.008609
ASCE,-0.005166
ASCE,-0.025828
ASCE,-0.046490
ASCE,-0.018940
ASCE,-0.008609
ASCE,-0.008609
ASCE,-0.020662
ASCE,-0.006887
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.008609
ASCE,-0.117085
ASCE,-0.091258
ASCE,-0.024106
ASCE,-0.008609
ASCE,-0.013775
ASCE,-0.010331
ASCE,-0.005166
ASCE,-0.003444
ASCE,-0.024106
ASCE,-0.008609
ASCE,-0.013775
ASCE,-0.008609
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-0.094701
ASCE,-0.037881
ASCE,-0.018940
ASCE,-0.018940
ASCE,-0.008609
ASCE,-0.012053
ASCE,-0.003444
ASCE,-0.013775
ASCE,-0.005166
ASCE,-0.024106
ASCE,-0.008609
ASCE,-0.013775
ASCE,23.100000
ASCE,0.000000
ASCE,10.680000
ASCE,10.680000
ASCE,6.201000
ASCE,2.428240
ASCE,0.000000
ASCE,23.100000
ASCE,0.000000
ASCE,10.680000
ASCE,7.320000
ASCE,15.677000
ASCE,0.000000
ASCE,0.288750
ASCE,6.201000
ASCE,1137.000000
ASCE,309.720000
ASCE,11.550000
ASCE,0.000000
ASCE,10.980000
ASCE,7.838500
ASCE,0.000000
ASCE,1.550250
ASCE,11.550000
ASCE,0.000000
ASCE,16.020000
ASCE,6.201000
ASCE,0.607060
ASCE,46.200000
ASCE,0.000000
ASCE,21.360000
ASCE,21.360000
ASCE,4.081000
ASCE,6.121500
ASCE,3.100500
ASCE,0.607060
ASCE,10.851750
ASCE,4.249420
ASCE,11.550000
ASCE,52.085781
ASCE,32.913000
ASCE,0.000000
ASCE,16.020000
ASCE,3.100500
ASCE,0.607060
ASCE,3.100500
ASCE,57.750000
ASCE,32.913000
ASCE,13.677000
ASCE,7.832000
ASCE,2.156000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,0.000000
ASCE,-9.390937
ASCE,-3.788057
ASCE,-1.878532
ASCE,-1.659858
ASCE,-0.599202
ASCE,-5.008844
ASCE,-9.390937
ASCE,-3.788057
ASCE,-1.878532
ASCE,-1.878532
ASCE,-4.022228
ASCE,-1.282774
ASCE,-0.117085
ASCE,-1.659858
ASCE,-23.479065
ASCE,-4.695469
ASCE,-1.894028
ASCE,-2.816937
ASCE,-2.011114
ASCE,-0.642248
ASCE,-0.414964
ASCE,-4.695469
ASCE,-18.156845
ASCE,-1.894028
ASCE,-2.816937
ASCE,-1.659858
ASCE,-0.149800
ASCE,-18.783596
ASCE,-7.576114
ASCE,-3.757064
ASCE,-1.659858
ASCE,-2.488065
ASCE,-0.829929
ASCE,-0.149800
ASCE,-2.903029
ASCE,-1.046881
ASCE,-3.757064
ASCE,-4.695469
ASCE,-1.894028
ASCE,-2.816937
ASCE,-0.829929
ASCE,-0.149800
ASCE,-0.829929
ASCE,-9.470142
ASCE,-2.160914
ASCE,-2.160914
ASCE,-2.207404
ASCE,-2.754950
ASCE,-0.876419
ASCE,-23.479065
ASCE,2.684542
ASCE,0.026344
ASCE,0.006272
ASCE,0.161825
ASCE,0.013799
ASCE,-0.026344
ASCE,-0.006272
ASCE,0.139440
ASCE,-0.161825
ASCE,-0.013799
ASCE,8.658000
ASCE,3.758120
ASCE,0.025089
ASCE,0.006272
ASCE,0.150535
ASCE,0.012545
ASCE,-0.025089
ASCE,-0.006272
ASCE,0.130200
ASCE,-0.150535
ASCE,-0.012545
ASCE,206.806000
ASCE,357.897120
ASCE,14.850511
ASCE,17.550000
ASCE,10.365721
ASCE,3.760000
ASCE,12.957151
ASCE,10.365721
ASCE,2.000000
ASCE,5.640000
ASCE,9.717864
ASCE,32.900000
