office,co2e
Associated Students Concerts & Events,0.064680
Associated Students Concerts & Events,-0.075268
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,-0.020071
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.005018
Associated Students Concerts & Events,0.104160
Associated Students Concerts & Events,-0.120428
Associated Students Concerts & Events,-0.010036
Associated Students Concerts & Events,-0.020071
Associated Students Concerts & Events,0.135482
Associated Students Concerts & Events,0.011290
Associated Students Concerts & Events,0.047669
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.287271
Associated Students Concerts & Events,0.023835
Associated Students Concerts & Events,0.037634
Associated Students Concerts & Events,0.008781
Associated Students Concerts & Events,0.220785
Associated Students Concerts & Events,0.018817
Associated Students Concerts & Events,0.008781
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,-0.005018
Associated Students Concerts & Events,0.104160
Associated Students Concerts & Events,-0.120428
Associated Students Concerts & Events,-0.010036
Associated Students Concerts & Events,-0.011290
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.058800
Associated Students Concerts & Events,-0.067741
Associated Students Concerts & Events,0.052687
Associated Students Concerts & Events,0.003763
Associated Students Concerts & Events,0.008781
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.052687
Associated Students Concerts & Events,0.003763
Associated Students Concerts & Events,0.025089
Associated Students Concerts & Events,0.006272
Associated Students Concerts & Events,0.150535
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.075268
Associated Students Concerts & Events,0.006272
Associated Students Concerts & Events,0.020071
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,0.120428
Associated Students Concerts & Events,0.010036
Associated Students Concerts & Events,0.020071
Associated Students Concerts & Events,0.005018
Associated Students Concerts & Events,0.120428
Associated Students Concerts & Events,0.010036
Associated Students Concerts & Events,0.011290
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.067741
Associated Students Concerts & Events,0.006272
Associated Students Concerts & Events,-0.007527
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.038640
Associated Students Concerts & Events,-0.045161
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,-0.011290
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.058800
Associated Students Concerts & Events,-0.067741
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,1.141730
Associated Students Concerts & Events,0.769230
Associated Students Concerts & Events,0.414960
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,4.455540
Associated Students Concerts & Events,0.622960
Associated Students Concerts & Events,0.634940
Associated Students Concerts & Events,0.622960
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.064680
Associated Students Concerts & Events,-0.075268
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,-0.010036
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.052080
Associated Students Concerts & Events,-0.060214
Associated Students Concerts & Events,-0.005018
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,4.720120
Associated Students Concerts & Events,12.388930
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.845880
Associated Students Concerts & Events,2.090760
Associated Students Concerts & Events,2.538730
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,1.775460
Associated Students Concerts & Events,3.553460
Associated Students Concerts & Events,0.064680
Associated Students Concerts & Events,-0.075268
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,-0.025089
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,0.130200
Associated Students Concerts & Events,-0.150535
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.064680
Associated Students Concerts & Events,-0.075268
Associated Students Concerts & Events,5.585460
Associated Students Concerts & Events,1.689640
Associated Students Concerts & Events,0.688380
Associated Students Concerts & Events,2.077920
Associated Students Concerts & Events,13.694361
Associated Students Concerts & Events,1.995780
Associated Students Concerts & Events,4.300613
Associated Students Concerts & Events,3.260070
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.740940
Associated Students Concerts & Events,-0.006272
Associated Students Concerts & Events,-0.007527
Associated Students Concerts & Events,-0.001254
Associated Students Concerts & Events,-0.006887
Associated Students Concerts & Events,0.038640
Associated Students Concerts & Events,-0.045161
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,-0.007527
Associated Students Concerts & Events,-0.001254
Associated Students Concerts & Events,0.038640
Associated Students Concerts & Events,-0.045161
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,-0.007527
Associated Students Concerts & Events,10.674660
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,2.029460
Associated Students Concerts & Events,2.030730
Associated Students Concerts & Events,1.141730
Associated Students Concerts & Events,0.007527
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.045161
Associated Students Concerts & Events,0.003763
Associated Students Concerts & Events,0.011290
